ZIP_CD,Closures
75001.0,2
75006.0,2
75007.0,2
75010.0,3
75019.0,1
75020.0,1
75022.0,1
75023.0,1
75024.0,1
75028.0,1
75034.0,1
75035.0,3
75038.0,2
75039.0,1
75040.0,2
75041.0,1
75042.0,2
75043.0,10
75044.0,3
75051.0,3
75052.0,3
75057.0,1
75060.0,1
75061.0,1
75062.0,4
75063.0,3
75067.0,2
75069.0,1
75070.0,1
75074.0,5
75075.0,7
75080.0,5
75081.0,5
75082.0,1
75087.0,1
75089.0,1
75090.0,2
75093.0,2
75094.0,1
75098.0,1
75103.0,2
75110.0,3
75115.0,9
75116.0,1
75119.0,3
75134.0,1
75137.0,2
75140.0,2
75147.0,1
75149.0,2
75150.0,8
75165.0,3
75181.0,3
75182.0,1
75189.0,1
75204.0,3
75206.0,3
75214.0,1
75216.0,1
75218.0,2
75220.0,1
75224.0,1
75226.0,1
75228.0,2
75229.0,2
75230.0,5
75231.0,3
75234.0,7
75235.0,4
75237.0,3
75238.0,3
75240.0,2
75243.0,14
75244.0,3
75246.0,2
75247.0,1
75248.0,2
75251.0,1
75252.0,7
75254.0,1
75390.0,1
75401.0,1
75402.0,1
75417.0,1
75426.0,1
75432.0,1
75440.0,1
75442.0,1
75452.0,1
75455.0,1
75457.0,1
75460.0,3
75474.0,1
75482.0,3
75494.0,2
75495.0,1
75501.0,2
75503.0,4
75559.0,1
75563.0,2
75570.0,1
75601.0,4
75604.0,1
75605.0,7
75633.0,4
75644.0,2
75645.0,1
75652.0,3
75656.0,1
75662.0,3
75670.0,6
75686.0,3
75701.0,8
75702.0,4
75703.0,5
75751.0,5
75763.0,1
75765.0,1
75766.0,7
75773.0,4
75783.0,4
75785.0,1
75790.0,1
75801.0,3
75835.0,2
75840.0,2
75847.0,1
75860.0,1
75862.0,2
75901.0,3
75904.0,3
75931.0,1
75935.0,6
75936.0,1
75948.0,1
75951.0,3
75956.0,1
75961.0,1
75965.0,2
75966.0,1
75972.0,1
76001.0,1
76002.0,3
76006.0,3
76011.0,3
76012.0,3
76013.0,2
76014.0,1
76015.0,5
76017.0,1
76021.0,6
76022.0,1
76028.0,1
76040.0,1
76048.0,1
76049.0,1
76051.0,1
76054.0,3
76060.0,1
76063.0,4
76067.0,1
76085.0,1
76086.0,5
76092.0,2
76102.0,5
76104.0,8
76105.0,1
76107.0,1
76108.0,1
76109.0,3
76110.0,1
76112.0,1
76114.0,1
76119.0,1
76120.0,1
76132.0,6
76133.0,1
76137.0,1
76177.0,1
76180.0,4
76201.0,1
76208.0,1
76210.0,3
76225.0,1
76227.0,1
76230.0,2
76234.0,2
76240.0,2
76244.0,2
76255.0,1
76265.0,1
76301.0,3
76302.0,4
76308.0,1
76354.0,3
76367.0,2
76384.0,1
76401.0,1
76424.0,1
76426.0,2
76444.0,2
76446.0,1
76448.0,1
76483.0,2
76501.0,2
76502.0,3
76503.0,1
76504.0,1
76508.0,2
76520.0,4
76522.0,1
76528.0,1
76530.0,1
76531.0,1
76542.0,1
76548.0,2
76549.0,1
76550.0,3
76567.0,2
76570.0,1
76574.0,2
76634.0,1
76642.0,2
76643.0,1
76645.0,2
76661.0,1
76689.0,1
76692.0,2
76707.0,1
76708.0,1
76710.0,2
76711.0,1
76712.0,5
76801.0,2
76823.0,1
76825.0,2
76844.0,1
76849.0,1
76856.0,1
76877.0,2
76903.0,2
76904.0,2
76905.0,1
77002.0,1
77003.0,1
77004.0,8
77006.0,2
77008.0,4
77009.0,1
77011.0,2
77014.0,2
77016.0,1
77018.0,1
77019.0,1
77024.0,1
77025.0,2
77027.0,5
77029.0,1
77030.0,6
77031.0,3
77034.0,2
77035.0,1
77036.0,44
77042.0,2
77045.0,1
77049.0,2
77054.0,6
77056.0,2
77057.0,1
77058.0,2
77060.0,1
77063.0,8
77064.0,1
77065.0,2
77069.0,1
77070.0,3
77071.0,5
77072.0,5
77074.0,22
77077.0,1
77079.0,5
77080.0,1
77081.0,2
77082.0,2
77083.0,6
77087.0,2
77088.0,1
77090.0,3
77091.0,3
77092.0,4
77094.0,1
77095.0,3
77096.0,4
77099.0,5
77301.0,1
77303.0,1
77304.0,4
77325.0,1
77327.0,6
77338.0,4
77339.0,1
77340.0,2
77346.0,1
77351.0,1
77356.0,1
77371.0,1
77375.0,2
77379.0,1
77380.0,2
77381.0,2
77382.0,2
77401.0,1
77407.0,5
77414.0,4
77418.0,2
77429.0,2
77433.0,1
77437.0,1
77449.0,1
77450.0,5
77459.0,5
77465.0,1
77469.0,8
77471.0,2
77474.0,1
77477.0,23
77478.0,12
77479.0,5
77489.0,4
77498.0,6
77502.0,1
77504.0,6
