PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,FAC_NAME,PRVDR_NUM,STATE_CD,PGM_TRMNTN_CD,ZIP_CD,Year
1.0,1,SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,0,36301.0,
1.0,1,NORTH JACKSON HOSPITAL,010004,AL,1,35740.0,
1.0,1,MARSHALL MEDICAL CENTER SOUTH,010005,AL,0,35957.0,
1.0,1,ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,0,35631.0,
1.0,1,MIZELL MEMORIAL HOSPITAL,010007,AL,0,36467.0,
1.0,1,CRENSHAW COMMUNITY HOSPITAL,010008,AL,0,36049.0,
1.0,1,HARTSELLE MEDICAL CENTER,010009,AL,1,35640.0,
1.0,1,MARSHALL MEDICAL CENTER NORTH,010010,AL,1,35976.0,
1.0,1,ST VINCENT'S EAST,010011,AL,0,35235.0,
1.0,1,DEKALB REGIONAL MEDICAL CENTER,010012,AL,0,35968.0,
1.0,1,SOUTHWEST ALABAMA MEDICAL CENTER,010015,AL,1,36784.0,
1.0,1,SHELBY BAPTIST MEDICAL CENTER,010016,AL,0,35007.0,
1.0,1,FAIRVIEW MEDICAL CTR,010017,AL,1,36108.0,
1.0,1,CALLAHAN EYE HOSPITAL,010018,AL,0,35233.0,
1.0,1,HELEN KELLER MEMORIAL HOSPITAL,010019,AL,0,35660.0,
1.0,1,PIEDMONT HOSPITAL,010020,AL,1,36272.0,
1.0,1,DALE MEDICAL CENTER,010021,AL,0,36360.0,
1.0,1,CHEROKEE MEDICAL CENTER,010022,AL,0,35960.0,
1.0,1,BAPTIST MEDICAL CENTER SOUTH,010023,AL,0,36116.0,
1.0,1,JACKSON HOSPITAL & CLINIC INC,010024,AL,0,36106.0,
1.0,1,GEORGE H. LANIER MEMORIAL HOSPITAL,010025,AL,1,36854.0,
1.0,1,COLUMBIA REGIONAL MEDICAL CENTER,010026,AL,1,36420.0,
1.0,1,ELBA GENERAL HOSPITAL,010027,AL,1,36323.0,
1.0,1,GUNTERSVILLE HOSPITAL,010028,AL,1,35976.0,
1.0,1,EAST ALABAMA MEDICAL CENTER,010029,AL,0,36801.0,
1.0,1,PHENIX REGIONAL HOSPITAL,010031,AL,1,36867.0,
1.0,1,WEDOWEE HOSPITAL,010032,AL,0,36278.0,
1.0,1,UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,0,35233.0,
1.0,1,COMMUNITY HOSPITAL INC,010034,AL,0,36078.0,
1.0,1,CULLMAN REGIONAL MEDICAL CENTER,010035,AL,0,35058.0,
1.0,1,ANDALUSIA REGIONAL HOSPITAL,010036,AL,0,36420.0,
1.0,1,STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,0,36201.0,
1.0,1,HUNTSVILLE HOSPITAL,010039,AL,0,35801.0,
1.0,1,GADSDEN REGIONAL MEDICAL CENTER,010040,AL,0,35903.0,
1.0,1,NORTH MOBILE COMMUNITY HOSPITAL,010041,AL,1,36572.0,
1.0,1,CHILTON MEDICAL CENTER,010043,AL,1,35045.0,
1.0,1,MARION REGIONAL MEDICAL CENTER,010044,AL,0,35570.0,
1.0,1,FAYETTE MEDICAL CENTER,010045,AL,0,35555.0,
1.0,1,RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,0,35901.0,
1.0,1,GEORGIANA MEDICAL CENTER,010047,AL,0,36033.0,
1.0,1,MEDICAL CENTER ENTERPRISE,010049,AL,0,36330.0,
1.0,1,ST VINCENTS BLOUNT,010050,AL,7,35121.0,
1.0,1,GREENE COUNTY HOSPITAL,010051,AL,0,35462.0,
1.0,1,LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,0,36853.0,
1.0,1,ATMORE COMMUNITY HOSPITAL,010053,AL,1,36502.0,
